Lens system,Survey,theta_E,sig_theta_E_up,sig_theta_E_low,gamma,sig_gamma_up,sig_gamma_low,sig_gamma_sys,q_m,sig_q_m_up,sig_q_m_low,phi_m,sig_phi_m_up,sig_phi_m_low,gamma_shear,sig_gamma_shear_up,sig_gamma_shear_low,phi_shear,sig_phi_shear_hi,sig_phi_shear_low,q_L,sig_q_L_up,sig_q_L_low,phi_L,sig_phi_L_up,sig_phi_L_low,R_eff,sig_R_eff_up,sig_R_eff_low,z_lens,z_source,sigma_los,sig_sigma_los,slit_shape,slit radius,slit_width,slit_length,seeing
SL2SJ0232-0408,SL2S,1.012,0.007,0.006,2.49,0.15,0.16,0.19,0.77,0.07,0.08,-29,8,7,0.018,0.02,0.013,-11,23,22,0.694,0.014,0.013,-26.8,1.4,1.9,1.128,0.012,0.012,0.35,2.34,281,26,Rectangular,--,1.68,1,0.7
SL2SJ0849-0412,SL2S,1.074,0.012,0.012,2.26,0.03,0.03,0.18,0.61,0.03,0.03,40,3,3,0.032,0.014,0.015,-29,11,12,0.465,0.006,0.005,49.6,0.3,0.3,0.602,0.008,0.008,0.72,1.54,320,24,Rectangular,--,1.6,0.9,0.9
SL2SJ0849-0251,SL2S,1.192,0.007,0.009,2.24,0.27,0.31,0.09,0.84,0.05,0.07,-21,6,4,0.008,0.01,0.006,21,38,37,0.76,0.008,0.008,-25.7,1.1,1.1,1.539,0.011,0.01,0.27,2.09,276,35,Rectangular,--,1.6,0.9,0.8
SL2SJ0858-0143,SL2S,0.953,0.024,0.025,2.09,0.45,0.28,0.27,0.84,0.07,0.08,-61,11,14,0.013,0.013,0.009,13,41,55,0.803,0.089,0.082,-64.6,14.7,13.2,1.257,0.083,0.069,0.58,--,233,25,Rectangular,--,1.62,1,0.9
SL2SJ0901-0259,SL2S,0.997,0.023,0.064,2.11,0.08,0.07,0.05,0.75,0.15,0.04,-76,18,4,0.004,0.005,0.003,-7,12,14,0.767,0.091,0.064,-83.5,23.3,8.3,0.704,0.049,0.055,0.67,1.19,--,--,--,--,--,--,--
SL2SJ0904-0059,SL2S,1.381,0.016,0.013,2.24,0.1,0.11,0.19,0.49,0.07,0.06,12,2,1,0.025,0.013,0.02,-29,21,22,0.754,0.033,0.035,18.1,3.9,4.3,2.255,0.08,0.097,0.61,2.36,183,21,Rectangular,--,1.6,0.9,0.7
SL2SJ0959+0206,SL2S,0.724,0.002,0.018,2.16,0.27,0.18,0.3,0.94,0.04,0.05,82,19,17,0.075,0.041,0.031,6,5,2,0.793,0.114,0.039,72.7,17.3,6,0.465,0.013,0.014,0.55,3.35,188,22,Rectangular,--,1.6,0.9,0.7
SL2SJ1358+5459,SL2S,1.241,0.013,0.014,2.08,0.08,0.07,0.03,0.81,0.02,0.02,-47,3,1,0.098,0.005,0.005,-72,2,2,0.791,0.006,0.006,-33.4,0.9,0.9,1.024,0.034,0.021,0.51,--,287,22,Rectangular,--,1.62,1,0.8
SL2SJ1359+5535,SL2S,1.107,0.014,0.013,1.95,0.15,0.16,0.26,0.69,0.08,0.12,35,1,1,0.004,0.004,0.002,-82,37,45,0.68,0.075,0.084,46.2,2.9,4.4,2.567,0.185,0.124,0.78,2.77,228,29,Rectangular,--,1.62,1,0.7
SL2SJ1401+5544,SL2S,1.924,0.012,0.012,2.03,0.03,0.03,0.19,0.61,0.02,0.02,59,2,1,0.058,0.011,0.014,-18,2,2,0.81,0.003,0.004,63.9,0.7,0.6,1.637,0.01,0.008,0.46,--,297,22,Rectangular,--,1.62,1,0.8
SL2SJ1402+5505,SL2S,1.233,0.012,0.009,1.76,0.14,0.15,0.21,0.95,0.02,0.06,-46,5,13,0.022,0.013,0.018,50,9,13,0.868,0.007,0.008,-52.5,1.5,1.5,1.589,0.009,0.006,0.41,--,--,--,--,--,--,--,--
SL2SJ1405+5243,SL2S,1.431,0.011,0.005,1.72,0.09,0.11,0.08,0.94,0.02,0.05,-63,9,8,0.067,0.011,0.009,68,5,2,0.843,0.005,0.005,-59.6,1,1,1.02,0.021,0.014,0.53,3.01,284,21,Rectangular,--,1.62,1,0.8
SL2SJ1406+5226,SL2S,1.034,0.01,0.011,1.91,0.06,0.08,0.25,0.6,0.04,0.03,-3,2,1,0.006,0.007,0.005,75,72,47,0.503,0.035,0.029,0.3,2.8,3,0.828,0.042,0.045,0.72,1.47,253,19,Rectangular,--,1.62,1,0.9
SL2SJ1411+5651,SL2S,0.92,0.003,0.001,1.75,0.25,0.02,0.28,0.87,0,0,70,1,8,0.056,0.002,0.008,86,1,2,0.79,0.053,0.006,84.5,0.7,14.2,0.574,0.002,0.003,0.32,1.42,214,23,Rectangular,--,1.62,1,1.3
